작성일,진행상황,카테고리,제목,링크,등록부서,조회수
2025.10.23,완료,비교과·행사,"차세대반도체학과 반도체 전문가 초청 특강I 반도체 제품(DRAM, 3D Nand Flash, Logic) Integration trend 소개 I 2025.10.30.(목) I 유진테크 전광열 부사장(연구소장)",https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category&paged=3&slug=%EC%B0%A8%EC%84%B8%EB%8C%80%EB%B0%98%EB%8F%84%EC%B2%B4%ED%95%99%EA%B3%BC-%EB%B0%98%EB%8F%84%EC%B2%B4-%EC%A0%84%EB%AC%B8%EA%B0%80-%EC%B4%88%EC%B2%AD-%ED%8A%B9%EA%B0%95i-%EB%B0%98%EB%8F%84%EC%B2%B4&keyword,혁신융합대학사업단,513
2025.10.23,진행,봉사,에듀투게더(Edu-Together) 1기 모집 안내,https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category&paged=3&slug=%EC%97%90%EB%93%80%ED%88%AC%EA%B2%8C%EB%8D%94edu-together-1%EA%B8%B0-%EB%AA%A8%EC%A7%91-%EC%95%88%EB%82%B4&keyword,사회공헌팀,664
2025.10.23,진행,국제교류,2026-1학기 교환/방문학생 및 복수학위생 ‘김용헌·방경숙 글로벌 인재 양성 장학금’ 모집 안내,https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category&paged=3&slug=2026-1%ED%95%99%EA%B8%B0-%EA%B5%90%ED%99%98-%EB%B0%A9%EB%AC%B8%ED%95%99%EC%83%9D-%EB%B0%8F-%EB%B3%B5%EC%88%98%ED%95%99%EC%9C%84%EC%83%9D-%EA%B9%80%EC%9A%A9%ED%97%8C%C2%B7%EB%B0%A9%EA%B2%BD&keyword,국제팀,673
2025.10.23,완료,장학,★ 2025학년도 2학기 유한재단 장학생(학업장려비) 추천 공고 (기한 연장),https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category&paged=3&slug=%E2%98%85-2025%ED%95%99%EB%85%84%EB%8F%84-2%ED%95%99%EA%B8%B0-%EC%9C%A0%ED%95%9C%EC%9E%AC%EB%8B%A8-%EC%9E%A5%ED%95%99%EC%83%9D%ED%95%99%EC%97%85%EC%9E%A5%EB%A0%A4%EB%B9%84-%EC%B6%94%EC%B2%9C-2&keyword,장학팀,736
2025.10.23,N/A,비교과·행사,[비교과]진로고민해결 프로그램(3탄),https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category&paged=3&slug=%EB%B9%84%EA%B5%90%EA%B3%BC%EC%A7%84%EB%A1%9C%EA%B3%A0%EB%AF%BC%ED%95%B4%EA%B2%B0-%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%A83%ED%83%84&keyword,진로취업센터,367
2025.10.22,진행,장학,[한국장학재단] 희망사다리Ⅰ유형 장학생 대상 일자리박람회 안내,https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category&paged=3&slug=%ED%95%9C%EA%B5%AD%EC%9E%A5%ED%95%99%EC%9E%AC%EB%8B%A8-%ED%9D%AC%EB%A7%9D%EC%82%AC%EB%8B%A4%EB%A6%AC%E2%85%A0%EC%9C%A0%ED%98%95-%EC%9E%A5%ED%95%99%EC%83%9D-%EB%8C%80%EC%83%81-%EC%9D%BC%EC%9E%90-2&keyword,장학팀,3345
2025.10.22,진행,국제교류,2025 청년 중남미 진출 포럼 참가 안내,https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category&paged=3&slug=2025-%EC%B2%AD%EB%85%84-%EC%A4%91%EB%82%A8%EB%AF%B8-%EC%A7%84%EC%B6%9C-%ED%8F%AC%EB%9F%BC-%EC%B0%B8%EA%B0%80-%EC%95%88%EB%82%B4&keyword,국제팀,1275
2025.10.22,진행,비교과·행사,2025 공학계열 대학생 스피치 경진대회 참가 안내,https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category&paged=3&slug=2025-%EA%B3%B5%ED%95%99%EA%B3%84%EC%97%B4-%EB%8C%80%ED%95%99%EC%83%9D-%EC%8A%A4%ED%94%BC%EC%B9%98-%EA%B2%BD%EC%A7%84%EB%8C%80%ED%9A%8C-%EC%B0%B8%EA%B0%80-%EC%95%88%EB%82%B4&keyword,공학교육혁신팀,639
2025.10.22,완료,봉사,사당3동 어울림 한마당 축제 자원봉사 모집 안내,https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category&paged=3&slug=%EC%82%AC%EB%8B%B93%EB%8F%99-%EC%96%B4%EC%9A%B8%EB%A6%BC-%ED%95%9C%EB%A7%88%EB%8B%B9-%EC%B6%95%EC%A0%9C-%EC%9E%90%EC%9B%90%EB%B4%89%EC%82%AC-%EB%AA%A8%EC%A7%91-%EC%95%88%EB%82%B4&keyword,사회공헌팀,219
2025.10.21,진행,학사,2025-겨울학기 현장실습학기제 학생 참여 안내,https://scatch.ssu.ac.kr/%ea%b3%b5%ec%a7%80%ec%82%ac%ed%95%ad/?f&category&paged=3&slug=2025-%EA%B2%A8%EC%9A%B8%ED%95%99%EA%B8%B0-%ED%98%84%EC%9E%A5%EC%8B%A4%EC%8A%B5%ED%95%99%EA%B8%B0%EC%A0%9C-%ED%95%99%EC%83%9D-%EC%B0%B8%EC%97%AC-%EC%95%88%EB%82%B4&keyword,현장실습지원센터,5171
